02,青森県,Aomori-ken,,96.46,8,2.59,8,63.8,26,11.8,30,33.5,22,11.5,46,27.9,46,-2.7,5,74,6,02,02,青 森 県,Aomori-ken,,"1,738",42,"1,004",47,11,40,131,14,102,2
03,岩手県,Iwate-ken,,152.75,2,4.10,2,74.9,10,4.7,46,24.3,39,11.6,45,29.3,43,-3.8,3,73,11,03,03,岩 手 県,Iwate-ken,,"1,872",28,"1,094",44,16,34,119,24,96,3
04,宮城県,Miyagi-ken,,72.82,16,1.95,16,55.9,34,23.5,10,43.3,14,13.7,41,29.0,44,-0.3,11,69,29,04,04,宮 城 県,Miyagi-ken,,"2,103",7,"1,445",34,13,37,100,45,58,12
05,秋田県,Akita-ken,,116.38,6,3.12,6,70.5,17,10.6,36,27.5,33,12.7,43,29.0,44,-1.3,8,70,24,05,05,秋 田 県,Akita-ken,,"1,713",44,"1,491",32,13,37,142,10,94,4
06,山形県,Yamagata-ken,,93.23,9,2.50,9,68.7,19,16.7,22,30.9,27,12.7,43,31.0,31,-3.1,4,71,19,06,06,山 形 県,Yamagata-ken,,"1,744",39,"1,027",46,9,42,131,14,89,5
07,福島県,Fukushima-ken,,137.84,3,3.70,3,67.9,21,13.0,27,30.6,28,14.2,40,31.4,22,-0.6,10,70,24,07,07,福 島 県,Fukushima-ken,,"1,884",26,"1,284",38,11,40,106,37,73,8
08,茨城県,Ibaraki-ken,,60.97,24,1.63,24,31.0,45,14.9,23,65.2,4,14.8,37,29.5,41,-1.1,9,74,6,08,08,茨 城 県,Ibaraki-ken,,"2,118",5,"1,227",41,42,5,103,41,11,33
09,栃木県,Tochigi-ken,,64.08,20,1.72,20,53.2,35,20.8,13,46.5,12,14.9,36,30.3,38,-1.6,7,67,36,09,09,栃 木 県,Tochigi-ken,,"2,022",14,"1,651",25,42,5,116,28,17,25
10,群馬県,Gumma-ken,,63.62,21,1.71,21,63.8,27,14.0,26,35.8,19,15.6,28,31.2,28,0.1,12,62,47,10,10,群 馬 県,Gumma-ken,,"2,143",3,"1,232",40,37,9,105,39,14,29
11,埼玉県,Saitama-ken,,37.98,39,1.02,39,31.9,44,32.8,4,68.1,3,16.0,26,31.6,19,0.4,14,63,46,11,11,埼 玉 県,Saitama-ken,,"2,168",2,"1,335",36,55,1,101,44,10,36
12,千葉県,Chiba-ken,,51.58,28,1.38,28,30.4,46,5.5,45,68.9,2,16.7,17,30.6,33,2.9,37,66,41,12,12,千 葉 県,Chiba-ken,,"2,034",13,"1,616",28,...,    -,117,27,16,27
13,東京都,Tokyo-to,,21.91,45,0.59,45,34.8,43,36.5,2,64.7,5,16.4,24,30.5,35,1.8,24,68,34,13,13,東 京 都,Tokyo-to,,"1,967",19,"1,782",20,39,8,115,29,11,33
14,神奈川県,Kanagawa-ken,,24.16,43,0.65,43,38.8,42,22.8,11,60.9,6,16.7,17,30.2,39,2.7,31,70,24,14,14,神奈川県,Kanagawa-ken,,"2,076",10,"1,836",17,41,7,119,24,8,40
15,新潟県,Niigata-ken,,125.84,5,3.37,5,63.5,28,25.2,9,36.0,18,14.4,39,29.5,41,0.5,15,72,16,15,15,新 潟 県,Niigata-ken,,...,    -,"1,468",33,9,42,152,5,76,6
16,富山県,Toyama-ken,,42.48,33,1.14,33,56.6,33,29.6,5,43.4,13,14.8,37,30.6,33,0.1,12,72,16,16,16,富 山 県,Toyama-ken,,"1,716",43,"2,141",10,12,39,174,1,63,9
17,石川県,Ishikawa-ken,,41.86,35,1.12,35,66.0,24,12.6,28,33.2,23,15.3,34,30.9,32,1.2,20,71,19,17,17,石 川 県,Ishikawa-ken,,"1,793",35,"2,165",9,14,35,174,1,62,10
18,福井県,Fukui-ken,,41.90,34,1.12,34,73.9,12,14.8,24,25.7,35,15.2,35,31.8,13,0.7,16,76,3,18,18,福 井 県,Fukui-ken,,"1,685",46,"2,300",6,23,26,171,3,61,11
19,山梨県,Yamanashi-ken,,44.65,32,1.20,32,77.8,3,27.1,8,21.4,44,15.6,28,32.6,5,-1.8,6,64,45,19,19,山 梨 県,Yamanashi-ken,,"2,205",1,"1,115",43,35,10,100,45,14,29
20,長野県,Nagano-ken,,135.62,4,3.64,4,75.5,8,20.5,14,23.8,41,12.8,42,30.2,39,-4.0,2,73,11,20,20,長 野 県,Nagano-ken,,"1,947",23,"1,058",45,9,42,122,21,75,7
21,岐阜県,Gifu-ken,,106.21,7,2.85,7,79.0,2,18.4,17,20.8,45,16.5,23,33.2,2,1.3,21,67,36,21,21,岐 阜 県,Gifu-ken,,"2,115",6,"2,267",8,32,14,122,21,27,17
22,静岡県,Shizuoka-ken,,77.77,13,2.09,13,63.1,30,10.8,35,35.4,21,17.2,8,31.1,29,2.2,27,69,29,22,22,静 岡 県,Shizuoka-ken,,"2,134",4,"2,805",4,49,4,114,32,4,45
23,愛知県,Aichi-ken,,51.72,27,1.39,27,42.2,41,17.2,20,57.8,7,16.6,19,32.9,4,1.5,22,67,36,23,23,愛 知 県,Aichi-ken,,"2,100",8,"1,803",18,34,12,114,32,15,28
24,三重県,Mie-ken,,57.74,25,1.55,25,64.3,25,35.0,3,35.7,20,16.6,19,31.3,26,2.7,31,69,29,24,24,三 重 県,Mie-ken,,"2,048",12,"1,979",15,32,14,115,29,19,22
25,滋賀県,Shiga-ken,,40.17,38,1.08,38,50.5,36,37.3,1,32.5,25,15.5,30,31.7,16,1.1,19,73,11,25,25,滋 賀 県,Shiga-ken,,"1,859",30,"1,784",19,24,25,144,7,36,16
26,京都府,Kyoto-fu,,46.12,31,1.24,31,74.2,11,20.5,15,25.5,37,16.6,19,33.6,1,2.2,27,67,36,26,26,京 都 府,Kyoto-fu,,"1,779",36,"2,043",13,17,33,123,20,26,18
27,大阪府,Osaka-fu,,19.05,46,0.51,46,30.1,47,10.5,37,69.8,1,17.2,8,33.2,2,3.3,39,66,41,27,27,大 阪 府,Osaka-fu,,"2,006",16,"1,649",26,21,29,119,24,17,25
28,兵庫県,Hyogo-ken,,84.01,12,2.25,12,66.7,23,19.8,16,33.1,24,17.3,5,31.7,16,3.6,43,65,43,28,28,兵 庫 県,Hyogo-ken,,"1,988",17,"1,578",29,21,29,113,34,20,21
29,奈良県,Nara-ken,,36.91,40,0.99,40,76.8,5,17.2,21,23.2,43,15.5,30,32.6,5,0.8,17,76,3,29,29,奈 良 県,Nara-ken,,"1,739",41,"1,512",31,23,26,129,16,24,20
30,和歌山県,Wakayama-ken,,47.25,30,1.27,30,76.4,6,10.5,38,23.6,42,17.2,8,32.2,9,3.5,42,69,29,30,30,和歌山県,Wakayama-ken,,"1,965",21,"1,538",30,22,28,108,36,19,22
31,鳥取県,Tottori-ken,,35.07,41,0.94,41,73.3,13,14.0,25,25.7,36,15.4,32,31.4,22,1.7,23,74,6,31,31,鳥 取 県,Tottori-ken,,"1,696",45,"1,750",21,21,29,159,4,56,13
32,島根県,Shimane-ken,,67.08,19,1.80,19,77.5,4,6.0,44,19.4,46,15.4,32,30.4,36,1.9,25,77,1,32,32,島 根 県,Shimane-ken,,"1,740",40,"1,706",22,20,32,149,6,49,15
33,岡山県,Okayama-ken,,71.15,17,1.91,17,68.0,20,11.3,31,31.2,26,16.2,25,32.3,8,2.3,29,70,24,33,33,岡 山 県,Okayama-ken,,"2,012",15,"1,334",37,35,10,100,45,18,24
34,広島県,Hiroshima-ken,,84.79,11,2.27,11,71.8,14,4.5,47,27.3,34,16.6,19,31.6,19,2.8,35,65,43,34,34,広 島 県,Hiroshima-ken,,"1,963",22,"1,641",27,25,23,106,37,25,19
35,山口県,Yamaguchi-ken,,61.12,23,1.64,23,71.6,15,7.0,42,27.9,32,15.9,27,32.0,11,0.9,18,75,5,35,35,山 口 県,Yamaguchi-ken,,"1,854",31,"2,061",12,...,    -,122,21,55,14
36,徳島県,Tokushima-ken,,41.47,36,1.11,36,75.2,9,9.3,40,24.4,38,17.0,13,31.7,16,3.3,39,69,29,36,36,徳 島 県,Tokushima-ken,,"2,065",11,"1,986",14,26,22,105,39,10,36
37,香川県,Kagawa-ken,,18.77,47,0.50,47,46.4,37,10.9,34,53.6,10,16.9,14,32.6,5,2.7,31,68,34,37,37,香 川 県,Kagawa-ken,,"1,968",18,"1,210",42,27,19,103,41,13,32
38,愛媛県,Ehime-ken,,56.76,26,1.52,26,70.3,18,7.2,41,29.5,29,16.8,15,31.4,22,2.8,35,70,24,38,38,愛 媛 県,Ehime-ken,,"1,888",25,"1,687",23,29,17,115,29,10,36
39,高知県,Kochi-ken,,71.04,18,1.90,18,83.3,1,6.7,43,16.4,47,17.5,4,31.8,13,2.4,30,71,19,39,39,高 知 県,Kochi-ken,,"2,098",9,"2,967",3,50,3,127,18,5,43
40,福岡県,Fukuoka-ken,,49.86,29,1.34,29,44.5,40,17.7,19,55.4,8,17.3,5,31.4,22,4.6,45,71,19,40,40,福 岡 県,Fukuoka-ken,,"1,872",27,"1,868",16,27,19,141,11,14,29
41,佐賀県,Saga-ken,,24.41,42,0.65,42,45.2,39,11.0,33,54.7,9,17.1,12,32.1,10,2.7,31,72,16,41,41,佐 賀 県,Saga-ken,,"1,889",24,"2,083",11,34,12,124,19,11,33
42,長崎県,Nagasaki-ken,,41.32,37,1.11,37,58.4,32,17.9,18,40.6,15,17.3,5,30.4,36,4.5,44,73,11,42,42,長 崎 県,Nagasaki-ken,,"1,754",38,"2,392",5,31,16,132,13,10,36
43,熊本県,Kumamoto-ken,,74.09,15,1.99,15,60.4,31,21.0,12,37.7,16,17.2,8,31.9,12,2.1,26,74,6,43,43,熊 本 県,Kumamoto-ken,,"1,867",29,"2,292",7,27,19,129,16,6,41
44,大分県,Oita-ken,,63.41,22,1.70,22,70.7,16,27.5,7,28.4,31,16.8,15,31.3,26,3.4,41,71,19,44,44,大 分 県,Oita-ken,,"1,822",32,"1,678",24,29,17,111,35,6,41
45,宮崎県,Miyazaki-ken,,77.35,14,2.07,14,75.8,7,11.9,29,23.9,40,17.7,3,31.1,29,3.1,38,77,1,45,45,宮 崎 県,Miyazaki-ken,,"1,967",20,"3,193",2,53,2,137,12,1,46
46,鹿児島県,Kagoshima-ken,,91.87,10,2.46,10,63.4,29,9.7,39,36.1,17,18.8,2,31.8,13,5.1,46,74,6,46,46,鹿児島県,Kagoshima-ken,,"1,778",37,"3,664",1,25,23,143,9,5,43
47,沖縄県,Okinawa-ken,,22.81,44,0.61,44,46.1,38,29.0,6,51.3,11,23.6,1,31.6,19,14.3,47,73,11,47,47,沖 縄 県,Okinawa-ken,,"1,814",33,"1,425",35,9,42,102,43,0,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,注)項目欄に「*」の付されている項目は，都道府県庁所在地のデータである。,,,,,,,,,,,,注)項目欄に「*」の付されている項目は，都道府県庁所在地のデータである。,,,,,,,,,,,,
,,,,,,,,,,,,　　ただし，上記の気象項目については，東京都は千代田区，埼玉県は熊谷市，滋賀県は彦根市における気象台の観測値である。,,,,,,,,,,,,　　ただし，上記の気象項目については，東京都は千代田区，埼玉県は熊谷市，滋賀県は彦根市における気象台の観測値である。,,,,,,,,,,,,
